team,turnovers,blocks,home_team,home_score,away_team,away_score,completions,total_passes,o_line_scores,o_line_points,o_line_posessions,d_line_scores,d_line_points,d_line_posessions,rz_scores,rz_posessions,huck_completions,huck_attempts,season,is_home_team
Cannons,33,6,TB,13,ATL,24,255,288,10,25,39,3,15,7,8.0,11.0,5.0,13.0,2021,True
Spiders,27,10,SJ,16,SD,23,247,274,15,25,36,1,17,7,11.0,16.0,5.0,10.0,2021,True
Growlers,19,9,SJ,16,SD,23,247,266,15,17,23,8,25,21,10.0,13.0,8.0,14.0,2021,False
Empire,23,10,PIT,19,NY,24,181,204,16,21,29,8,25,18,14.0,18.0,8.0,17.0,2021,False
Thunderbirds,26,9,PIT,19,NY,24,297,323,16,25,34,3,21,11,15.0,16.0,4.0,10.0,2021,True
Wind Chill,16,13,MIN,25,MAD,19,314,330,17,21,26,8,26,16,17.0,19.0,9.0,15.0,2021,True
Radicals,22,8,MIN,25,MAD,19,241,263,15,26,33,4,21,9,9.0,15.0,10.0,15.0,2021,False
Legion,21,16,DAL,20,LA,12,272,293,10,14,20,10,21,22,15.0,21.0,6.0,10.0,2021,True
Aviators,30,7,DAL,20,LA,12,208,238,10,21,33,2,16,9,7.0,11.0,4.0,9.0,2021,False
Breeze,7,12,DC,32,BOS,20,293,300,20,21,25,12,34,14,22.0,22.0,11.0,14.0,2021,True
Glory,19,3,DC,32,BOS,20,255,274,20,34,36,0,21,4,10.0,14.0,9.0,15.0,2021,False
Growlers,21,12,SD,18,LA,20,213,234,13,21,23,4,20,15,11.0,17.0,7.0,13.0,2021,True
Aviators,18,5,SD,18,LA,20,227,245,15,20,31,5,21,9,8.0,10.0,8.0,11.0,2021,False
Spiders,27,12,SJ,20,SEA,19,253,280,9,21,29,11,22,18,11.0,16.0,9.0,14.0,2021,True
Cascades,28,16,SJ,20,SEA,19,221,249,9,22,29,10,21,20,9.0,13.0,10.0,17.0,2021,False
Thunderbirds,30,16,TB,18,PIT,15,180,210,11,20,31,4,17,14,4.0,5.0,5.0,10.0,2021,False
Cannons,28,16,TB,18,PIT,15,257,285,11,17,27,7,20,20,10.0,14.0,6.0,12.0,2021,True
Wind Chill,15,7,CHI,23,MIN,18,325,340,15,25,28,3,19,6,15.0,20.0,5.0,7.0,2021,False
Union,9,5,CHI,23,MIN,18,211,220,15,19,21,8,25,11,14.0,14.0,6.0,7.0,2021,True
Mechanix,25,5,IND,28,DET,16,269,294,14,30,39,2,18,4,9.0,13.0,9.0,17.0,2021,False
AlleyCats,13,17,IND,28,DET,16,239,252,14,18,19,14,30,24,15.0,18.0,11.0,15.0,2021,True
Flyers,12,6,RAL,24,DC,25,239,251,19,26,29,5,26,7,20.0,21.0,4.0,10.0,2021,True
Breeze,11,7,RAL,24,DC,25,291,302,19,26,27,6,26,10,13.0,15.0,11.0,14.0,2021,False
Sol,15,10,AUS,24,DAL,23,226,241,15,25,30,9,26,13,13.0,17.0,8.0,11.0,2021,True
Legion,18,10,AUS,24,DAL,23,200,218,17,26,30,6,24,11,12.0,16.0,9.0,12.0,2021,False
Hustle,16,11,BOS,19,ATL,21,187,203,14,21,24,7,22,15,7.0,12.0,12.0,14.0,2021,False
Glory,19,9,BOS,19,ATL,21,275,294,13,23,29,6,21,9,12.0,15.0,6.0,10.0,2021,True
Breeze,17,19,DC,24,TB,10,268,285,12,12,17,12,26,25,16.0,18.0,6.0,12.0,2021,True
Cannons,32,6,DC,24,TB,10,173,205,10,26,38,0,12,5,4.0,11.0,6.0,20.0,2021,False
Cascades,17,5,SEA,24,SJ,21,269,286,16,23,26,8,25,16,16.0,18.0,7.0,15.0,2021,True
Spiders,19,6,SEA,24,SJ,21,265,284,16,25,32,5,23,8,12.0,17.0,6.0,10.0,2021,False
Aviators,19,7,LA,16,SD,19,221,240,14,21,30,2,18,5,9.0,12.0,4.0,6.0,2021,True
Growlers,16,13,LA,16,SD,19,257,273,14,18,21,5,21,16,11.0,11.0,3.0,8.0,2021,False
Flyers,18,6,ATL,19,RAL,18,379,397,13,20,26,5,21,10,14.0,18.0,2.0,4.0,2021,False
Hustle,16,13,ATL,19,RAL,18,236,252,15,21,26,4,20,13,11.0,15.0,8.0,10.0,2021,True
Mechanix,43,8,DET,10,MAD,34,250,293,9,36,46,1,12,8,4.0,7.0,3.0,9.0,2021,True
