team,turnovers,blocks,home_team,home_score,away_team,away_score,completions,total_passes,o_line_scores,o_line_points,o_line_posessions,d_line_scores,d_line_points,d_line_posessions,rz_scores,rz_posessions,huck_completions,huck_attempts,season,is_home_team
FlameThrowers,35,16,SF,22,SJ,21,215,250,13,23,41,9,24,19,,,,,2014,True
Spiders,36,15,SF,22,SJ,21,167,203,12,24,32,9,23,27,,,,,2014,False
Empire,21,19,ROC,13,NY,24,202,223,12,15,20,12,26,28,,,,,2014,False
Dragons,29,8,ROC,13,NY,24,247,276,10,26,37,3,15,7,,,,,2014,True
Mechanix,30,16,IND,30,DET,22,263,293,20,32,45,2,24,11,,,,,2014,False
AlleyCats,21,27,IND,30,DET,22,242,263,20,24,31,10,32,21,,,,,2014,True
Wind Chill,26,13,MIN,20,CHI,31,335,361,18,33,41,2,22,7,,,,,2014,True
Union,13,16,MIN,20,CHI,31,260,273,18,22,25,13,33,22,,,,,2014,False
AlleyCats,24,17,CIN,20,IND,24,301,325,17,22,27,7,26,24,,,,,2014,False
Revolution,29,15,CIN,20,IND,24,259,288,17,26,42,3,22,9,,,,,2014,True
Cascades,36,11,SEA,14,SJ,23,332,368,11,25,40,3,16,11,,,,,2014,True
Spiders,25,14,SEA,14,SJ,23,202,227,11,16,24,12,25,28,,,,,2014,False
Dragons,36,9,ROC,18,TOR,30,242,278,16,32,47,2,20,9,,,,,2014,True
Rush,24,17,ROC,18,TOR,30,250,274,17,20,26,13,32,31,,,,,2014,False
Spiders,22,22,VAN,32,SJ,39,215,237,27,34,41,12,41,23,,,,,2014,False
Riptide,29,14,VAN,32,SJ,39,301,330,27,41,52,5,34,13,,,,,2014,True
FlameThrowers,40,10,SLC,16,SF,19,180,220,10,18,30,9,21,30,,,,,2014,False
Lions,42,18,SLC,16,SF,19,223,265,11,21,40,5,18,20,,,,,2014,True
Phoenix,39,11,NY,20,PHI,10,187,226,9,22,45,1,12,5,,,,,2014,False
Empire,31,20,NY,20,PHI,10,282,313,9,12,16,11,22,38,,,,,2014,True
AlleyCats,9,0,IND,25,MIN,24,100,109,7,11,15,0,8,2,,,,,2014,True
Wind Chill,22,15,IND,25,MIN,24,367,389,17,27,31,7,26,18,,,,,2014,False
Mechanix,36,12,DET,15,CIN,20,141,177,11,22,38,4,17,17,,,,,2014,True
Revolution,34,21,DET,15,CIN,20,191,225,13,17,31,7,22,24,,,,,2014,False
Radicals,31,14,MAD,22,MIN,15,198,229,12,17,31,10,24,24,,,,,2014,True
Wind Chill,36,17,MAD,22,MIN,15,278,314,12,24,37,3,17,17,,,,,2014,False
Union,34,14,CHI,20,IND,19,260,294,11,21,33,9,22,22,,,,,2014,True
AlleyCats,37,15,CHI,20,IND,19,246,283,12,23,38,7,22,22,,,,,2014,False
FlameThrowers,34,23,SF,29,SEA,16,216,250,13,18,36,16,31,31,,,,,2014,True
Cascades,49,19,SF,29,SEA,16,280,329,11,31,42,5,18,23,,,,,2014,False
Phoenix,36,12,DC,28,PHI,19,275,311,16,30,43,3,21,15,,,,,2014,False
Breeze,25,13,DC,28,PHI,19,225,250,16,21,32,12,30,23,,,,,2014,True
AlleyCats,27,13,MIN,21,IND,22,123,150,17,23,35,5,24,16,,,,,2014,False
Wind Chill,28,16,MIN,21,IND,22,254,282,17,24,35,4,23,17,,,,,2014,True
Cascades,35,13,SJ,25,SEA,20,318,353,19,27,44,1,22,14,,,,,2014,False
Spiders,29,10,SJ,25,SEA,20,179,208,20,22,34,5,27,23,,,,,2014,True
Dragons,46,9,TOR,26,ROC,11,202,248,9,28,45,2,13,12,,,,,2014,False
Rush,29,27,TOR,26,ROC,11,218,247,11,13,23,15,28,35,,,,,2014,True
Empire,21,14,MTL,16,NY,17,248,269,11,18,23,6,19,16,,,,,2014,False
Royal,20,5,MTL,16,NY,17,229,249,11,19,28,5,18,11,,,,,2014,True
Radicals,23,19,MAD,27,IND,18,279,302,17,20,25,10,29,27,,,,,2014,True
AlleyCats,32,11,MAD,27,IND,18,236,268,16,29,45,2,20,7,,,,,2014,False
Union,45,21,CHI,18,DET,9,211,256,9,11,26,9,20,39,,,,,2014,True
Mechanix,55,20,CHI,18,DET,9,159,214,9,20,50,0,11,17,,,,,2014,False
Phoenix,34,9,PHI,22,DC,30,286,320,18,30,39,2,22,16,,,,,2014,True
Breeze,26,14,PHI,22,DC,30,293,319,19,24,38,11,32,20,,,,,2014,False
Revolution,23,18,CIN,25,DET,13,185,208,11,15,19,14,27,31,,,,,2014,True
Mechanix,36,17,CIN,25,DET,13,267,303,9,27,43,4,15,8,,,,,2014,False
Riptide,34,13,VAN,20,SF,29,234,268,16,31,43,4,22,13,,,,,2014,True
FlameThrowers,22,16,VAN,20,SF,29,253,275,16,22,28,13,31,27,,,,,2014,False
Breeze,19,18,DC,30,ROC,22,276,295,19,24,30,11,32,22,,,,,2014,True
Dragons,28,11,DC,30,ROC,22,244,272,19,32,42,3,24,10,,,,,2014,False
Spiders,24,17,SLC,20,SJ,31,218,242,16,22,34,15,33,21,,,,,2014,False
Lions,33,11,SLC,20,SJ,31,344,377,16,33,39,4,22,18,,,,,2014,True
Cascades,34,15,SEA,13,SF,17,286,320,7,19,30,6,15,17,,,,,2014,True
FlameThrowers,29,14,SEA,13,SF,17,241,270,7,15,25,10,19,23,,,,,2014,False
Dragons,45,13,NY,27,ROC,8,203,248,8,29,46,0,10,8,,,,,2014,False
Empire,25,20,NY,27,ROC,8,229,254,9,10,17,18,29,38,,,,,2014,True
Mechanix,41,21,DET,16,IND,22,219,260,12,24,44,4,18,17,,,,,2014,True
AlleyCats,37,17,DET,16,IND,22,251,288,13,18,30,9,24,32,,,,,2014,False
Union,31,23,CHI,27,CIN,12,212,243,10,14,23,17,29,37,,,,,2014,True
Revolution,46,4,CHI,27,CIN,12,13,59,9,28,48,3,14,12,,,,,2014,False
Wind Chill,19,17,MIN,23,MAD,20,280,299,17,22,27,6,25,18,,,,,2014,True
Radicals,23,14,MIN,23,MAD,20,212,235,16,25,35,4,22,10,,,,,2014,False
Lions,41,11,SJ,37,SLC,18,348,389,17,39,51,1,20,12,,,,,2014,False
Spiders,24,17,SJ,37,SLC,18,207,231,16,20,29,21,39,33,,,,,2014,True
Rush,29,23,MTL,14,TOR,22,255,284,12,16,25,10,24,28,,,,,2014,False
Royal,34,9,MTL,14,TOR,22,159,193,10,24,40,4,16,12,,,,,2014,True
FlameThrowers,29,21,SF,32,SLC,9,233,262,9,11,18,23,34,46,,,,,2014,True
Lions,53,11,SF,32,SLC,9,223,276,9,34,55,0,11,7,,,,,2014,False
Riptide,23,18,VAN,24,SEA,19,255,278,15,21,28,9,26,23,,,,,2014,True
Cascades,30,16,VAN,24,SEA,19,254,284,15,26,38,4,21,12,,,,,2014,False
Radicals,20,29,DET,9,MAD,34,264,284,10,11,18,24,36,36,,,,,2014,False
Mechanix,43,8,DET,9,MAD,34,286,329,8,36,47,1,11,8,,,,,2014,True
AlleyCats,15,15,IND,25,CHI,19,243,258,16,21,25,9,27,18,,,,,2014,True
Union,22,7,IND,25,CHI,19,251,273,17,27,35,2,21,7,,,,,2014,False
Union,20,7,CIN,23,CHI,22,214,234,19,25,36,3,24,7,,,,,2014,False
Revolution,19,11,CIN,23,CHI,22,277,296,18,24,28,5,25,16,,,,,2014,True
Riptide,37,10,SLC,12,VAN,21,24,61,7,14,18,14,23,42,,,,,2014,False
Lions,50,15,SLC,12,VAN,21,207,257,9,23,44,3,14,20,,,,,2014,True
Empire,30,14,NY,20,TOR,22,164,194,13,24,33,7,22,19,,,,,2014,True
Rush,28,11,NY,20,TOR,22,279,307,12,22,34,10,24,20,,,,,2014,False
Wind Chill,27,15,CHI,27,MIN,19,230,257,14,30,39,5,19,11,,,,,2014,False
Union,20,17,CHI,27,MIN,19,262,282,16,21,28,11,29,22,,,,,2014,True
AlleyCats,28,15,IND,21,MAD,26,210,238,19,28,40,2,23,12,,,,,2014,True
Radicals,24,15,IND,21,MAD,26,305,329,18,23,31,8,28,21,,,,,2014,False
Lions,38,13,SLC,14,VAN,29,209,247,13,30,44,1,16,9,,,,,2014,True
Riptide,17,18,SLC,14,VAN,29,32,49,6,16,21,23,31,29,,,,,2014,False
Rush,26,14,DC,19,TOR,20,326,352,15,21,31,5,22,15,,,,,2014,False
Breeze,19,5,DC,19,TOR,20,169,188,14,20,27,5,19,11,,,,,2014,True
Spiders,20,15,SJ,20,SF,16,219,239,11,18,27,9,22,15,,,,,2014,True
FlameThrowers,24,7,SJ,20,SF,16,306,330,12,22,28,4,18,14,,,,,2014,False
Dragons,31,17,PHI,10,ROC,13,169,200,6,12,29,7,15,18,,,,,2014,False
Phoenix,34,17,PHI,10,ROC,13,208,242,5,15,22,5,12,23,,,,,2014,True
Mechanix,26,9,DET,21,MIN,30,268,294,17,32,41,4,23,8,,,,,2014,True
Wind Chill,15,18,DET,21,MIN,30,242,257,18,23,27,12,32,22,,,,,2014,False
Revolution,34,11,CIN,16,MAD,25,323,357,10,27,36,6,18,15,,,,,2014,True
Radicals,25,22,CIN,16,MAD,25,255,280,9,18,26,16,27,26,,,,,2014,False
Radicals,24,16,SJ,17,MAD,15,212,236,13,19,32,2,17,10,,,,,2015,False
Spiders,23,10,SJ,17,MAD,15,314,337,13,17,25,4,19,18,,,,,2015,True
Spiders,19,8,SJ,25,TOR,20,264,283,17,22,33,8,27,13,,,,,2015,True
Rush,23,9,SJ,25,TOR,20,291,314,15,27,30,5,22,16,,,,,2015,False
Radicals,31,16,MAD,22,RAL,19,208,239,13,21,29,9,24,26,,,,,2015,True
Flyers,33,15,MAD,22,RAL,19,235,268,13,24,39,6,21,15,,,,,2015,False
Spiders,25,10,SJ,21,SEA,19,263,288,15,21,33,6,23,16,,,,,2015,True
Cascades,28,6,SJ,21,SEA,19,244,272,16,23,32,3,21,16,,,,,2015,False
Cascades,24,12,SF,19,SEA,21,261,285,13,21,31,8,23,17,,,,,2015,False
FlameThrowers,25,11,SF,19,SEA,21,249,274,13,23,31,6,21,16,,,,,2015,True
Radicals,24,13,MAD,24,PIT,21,234,258,16,23,32,8,26,18,,,,,2015,True
Thunderbirds,27,12,MAD,24,PIT,21,283,310,15,26,34,6,23,16,,,,,2015,False
Rush,30,19,TOR,25,NY,19,208,238,12,21,32,13,27,26,,,,,2015,True
Empire,37,7,TOR,25,NY,19,206,243,13,27,39,6,21,18,,,,,2015,False
Flyers,25,15,RAL,28,JAX,27,280,305,19,30,36,9,31,21,,,,,2015,True
Cannons,26,7,RAL,28,JAX,27,265,291,16,31,40,11,30,16,,,,,2015,False
Thunderbirds,28,9,PIT,24,CHI,23,248,276,14,26,36,10,26,18,,,,,2015,True
Empire,14,17,MTL,20,NY,33,295,309,16,22,28,17,35,23,,,,,2015,False
Royal,26,10,MTL,20,NY,33,217,243,16,35,39,4,22,8,,,,,2015,True
Riptide,21,11,VAN,26,SEA,24,314,335,19,26,31,7,28,17,,,,,2015,True
Cascades,22,11,VAN,26,SEA,24,265,287,20,28,38,4,26,9,,,,,2015,False
Rush,31,18,TOR,25,OTT,19,203,234,13,21,28,12,27,31,,,,,2015,True
Outlaws,36,6,TOR,25,OTT,19,187,223,12,27,43,7,21,15,,,,,2015,False
Growlers,24,19,SD,21,LA,15,235,259,9,17,22,12,23,26,,,,,2015,True
Aviators,29,13,SD,21,LA,15,276,305,10,23,35,5,17,11,,,,,2015,False
Mechanix,40,10,CHI,28,DET,12,110,150,11,30,43,1,14,12,,,,,2015,False
Union,26,19,CHI,28,DET,12,287,313,12,14,24,16,30,30,,,,,2015,True
Nightwatch,31,20,NSH,17,CHA,18,259,290,10,20,30,7,19,20,,,,,2015,True
Express,31,19,NSH,17,CHA,18,225,256,11,19,31,7,20,19,,,,,2015,False
Riptide,30,7,SEA,30,VAN,17,270,300,14,31,37,3,19,11,,,,,2015,False
Cascades,17,16,SEA,30,VAN,17,30,47,15,19,27,15,32,23,,,,,2015,True
Outlaws,22,10,OTT,26,TOR,30,259,281,23,32,42,3,28,9,,,,,2015,True
Rush,18,14,OTT,26,TOR,30,220,238,24,28,34,6,32,17,,,,,2015,False
Spiders,33,10,SF,32,SJ,18,220,253,16,34,43,2,20,11,,,,,2015,False
FlameThrowers,18,18,SF,32,SJ,18,332,350,17,20,28,15,34,26,,,,,2015,True
Aviators,23,15,LA,21,SD,16,227,250,12,18,24,9,23,23,,,,,2015,True
Growlers,25,9,LA,21,SD,16,277,302,12,23,34,4,18,11,,,,,2015,False
Empire,24,16,PHI,17,NY,20,317,341,11,19,24,9,22,22,,,,,2015,False
Phoenix,27,13,PHI,17,NY,20,230,257,13,22,35,4,19,10,,,,,2015,True
Thunderbirds,17,7,PIT,29,IND,25,355,372,20,27,33,9,31,15,,,,,2015,True
AlleyCats,21,8,PIT,29,IND,25,260,281,20,31,36,5,27,12,,,,,2015,False
Nightwatch,24,11,NSH,22,CHA,19,301,325,17,21,26,5,24,23,,,,,2015,True
Express,27,17,NSH,22,CHA,19,238,265,16,24,40,3,21,8,,,,,2015,False
Mechanix,55,9,MIN,45,DET,11,204,259,9,47,64,2,14,5,,,,,2015,False
Wind Chill,20,30,MIN,45,DET,11,198,218,11,13,16,34,47,51,,,,,2015,True
Radicals,18,17,MAD,39,CIN,19,357,375,18,21,22,21,41,37,,,,,2015,True
Revolution,37,9,MAD,39,CIN,19,287,324,17,41,56,2,21,3,,,,,2015,False
Rush,20,26,TOR,39,ROC,17,244,264,19,19,27,20,41,35,,,,,2015,True
Dragons,40,6,TOR,39,ROC,17,232,272,17,40,53,0,19,6,,,,,2015,False
Phoenix,9,6,PHI,26,ROC,16,103,112,13,18,21,13,28,17,,,,,2015,True
Dragons,21,6,PHI,26,ROC,16,387,408,13,28,32,3,18,6,,,,,2015,False
Hustle,14,15,ATL,28,NSH,18,241,255,16,20,23,12,30,23,,,,,2015,True
Nightwatch,25,7,ATL,28,NSH,18,267,292,15,30,38,3,20,7,,,,,2015,False
AlleyCats,25,10,MAD,25,IND,24,330,355,17,27,33,7,26,16,,,,,2015,False
Radicals,22,15,MAD,25,IND,24,248,270,19,26,35,6,27,15,,,,,2015,True
Breeze,23,12,DC,27,ROC,19,192,215,16,21,29,11,29,24,,,,,2015,True
Dragons,31,13,DC,27,ROC,19,336,367,15,29,40,4,21,12,,,,,2015,False
Thunderbirds,21,9,CIN,27,PIT,33,312,333,22,29,34,11,35,21,,,,,2015,False
Revolution,26,13,CIN,27,PIT,33,312,338,23,35,45,4,29,11,,,,,2015,True
Cannons,14,7,JAX,29,NSH,27,273,287,24,29,32,5,31,14,,,,,2015,True
Nightwatch,16,8,JAX,29,NSH,27,297,313,24,31,39,3,29,5,,,,,2015,False
Aviators,19,8,SD,23,LA,22,270,289,17,25,28,5,24,15,,,,,2015,False
Growlers,18,8,SD,23,LA,22,283,301,17,24,33,6,25,11,,,,,2015,True
AlleyCats,32,15,MIN,22,IND,21,296,328,12,24,36,9,23,20,,,,,2015,False
Wind Chill,30,17,MIN,22,IND,21,268,298,11,23,32,11,24,23,,,,,2015,True
Flyers,17,13,RAL,26,CHA,23,319,336,16,25,27,10,28,19,,,,,2015,True
Express,21,12,RAL,26,CHA,23,252,273,15,28,35,8,25,10,,,,,2015,False
Phoenix,34,8,DC,27,PHI,12,56,90,11,29,38,1,14,10,,,,,2015,False
Breeze,23,16,DC,27,PHI,12,263,286,11,14,22,16,29,29,,,,,2015,True
Mechanix,40,6,PIT,42,DET,16,315,355,15,44,55,1,18,3,,,,,2015,False
Thunderbirds,14,24,PIT,42,DET,16,246,260,16,18,20,26,44,38,,,,,2015,True
Breeze,39,17,MTL,25,DC,21,280,319,15,27,45,6,23,16,,,,,2015,False
Royal,34,20,MTL,25,DC,21,237,271,15,23,32,10,27,29,,,,,2015,True
Hustle,22,12,ATL,21,JAX,24,241,263,16,26,33,5,23,12,,,,,2015,True
Cannons,19,11,ATL,21,JAX,24,275,294,16,23,29,8,26,16,,,,,2015,False
Outlaws,22,9,OTT,25,DC,26,287,309,18,28,34,7,27,16,,,,,2015,True
Breeze,17,11,OTT,25,DC,26,204,221,19,27,32,7,28,13,,,,,2015,False
Empire,23,19,ROC,19,NY,25,245,268,15,21,32,10,27,19,,,,,2015,False
Dragons,30,13,ROC,19,NY,25,286,316,15,27,35,4,21,15,,,,,2015,True
FlameThrowers,33,10,SEA,27,SF,17,339,372,14,29,41,3,19,10,,,,,2015,False
Cascades,22,18,SEA,27,SF,17,269,291,13,19,25,14,29,27,,,,,2015,True
Phoenix,30,7,NY,24,PHI,13,244,274,9,26,34,4,15,11,,,,,2015,False
Empire,19,12,NY,24,PHI,13,244,263,10,15,21,14,26,24,,,,,2015,True
Wind Chill,23,16,IND,21,MIN,25,279,302,17,23,32,8,27,19,,,,,2015,False
AlleyCats,28,13,IND,21,MIN,25,310,338,17,27,37,4,23,14,,,,,2015,True
Union,29,12,PIT,27,CHI,26,355,384,21,29,39,5,29,17,,,,,2015,False
Thunderbirds,28,12,PIT,27,CHI,26,244,272,22,29,41,5,29,17,,,,,2015,True
Riptide,29,14,VAN,19,SF,22,245,274,14,24,31,5,21,18,,,,,2015,True
FlameThrowers,25,13,VAN,19,SF,22,244,269,13,21,33,9,24,17,,,,,2015,False
Dragons,65,11,TOR,27,ROC,10,193,258,9,29,64,1,12,11,,,,,2015,False
Rush,44,21,TOR,27,ROC,10,196,240,8,12,22,19,29,53,,,,,2015,True
Outlaws,20,12,MTL,25,OTT,29,335,355,21,27,36,8,31,16,,,,,2015,False
Royal,25,8,MTL,25,OTT,29,31,56,20,31,37,5,27,15,,,,,2015,True
Nightwatch,32,7,RAL,20,NSH,15,246,278,13,22,35,2,17,13,,,,,2015,False
Flyers,26,17,RAL,20,NSH,15,259,285,13,17,28,7,22,21,,,,,2015,True
Wind Chill,31,27,CIN,17,MIN,21,269,300,14,19,37,7,23,18,,,,,2015,False
Revolution,35,15,CIN,17,MIN,21,320,355,14,23,33,3,19,21,,,,,2015,True
Mechanix,44,11,DET,11,CHI,21,187,231,10,24,51,1,13,7,,,,,2015,True
Hustle,14,17,CHA,13,ATL,26,206,220,12,15,20,14,28,24,,,,,2015,False
Express,29,13,CHA,13,ATL,26,333,362,11,28,36,2,15,7,,,,,2015,True
Royal,27,19,ROC,17,MTL,23,34,61,13,19,34,10,25,20,,,,,2015,False
Dragons,35,8,ROC,17,MTL,23,277,312,13,25,33,4,19,19,,,,,2015,True
Riptide,31,12,LA,27,VAN,20,288,319,17,29,41,3,22,11,,,,,2015,False
Aviators,24,13,LA,27,VAN,20,258,282,18,22,30,9,29,23,,,,,2015,True
Cascades,30,15,SF,25,SEA,21,288,318,16,28,41,5,23,15,,,,,2015,False
FlameThrowers,27,8,SF,25,SEA,21,274,301,14,23,29,11,28,24,,,,,2015,True
Dragons,33,11,ROC,21,MTL,24,304,337,14,27,35,7,23,22,,,,,2015,True
Royal,31,15,ROC,21,MTL,24,62,93,13,23,36,11,27,20,,,,,2015,False
Breeze,46,15,NY,21,DC,13,177,223,8,23,46,5,15,16,,,,,2015,False
Empire,39,18,NY,21,DC,13,233,272,8,15,24,13,23,37,,,,,2015,True
Growlers,14,10,SD,32,VAN,28,311,325,24,30,37,8,34,12,,,,,2015,True
Riptide,19,6,SD,32,VAN,28,246,265,24,34,37,4,30,11,,,,,2015,False
Cascades,21,3,SJ,35,SEA,28,330,351,25,37,41,3,30,9,,,,,2015,False
Spiders,13,13,SJ,35,SEA,28,276,289,25,29,35,10,37,16,,,,,2015,True
Express,19,7,CHA,21,RAL,24,345,364,18,26,34,3,23,9,,,,,2015,True
Flyers,15,5,CHA,21,RAL,24,319,334,18,23,28,6,26,14,,,,,2015,False
Revolution,30,9,CIN,19,PIT,25,328,358,14,27,36,5,21,16,,,,,2015,True
Thunderbirds,25,17,CIN,19,PIT,25,306,331,13,21,30,12,27,21,,,,,2015,False
Empire,16,9,DC,7,NY,8,136,152,3,9,18,5,10,10,,,,,2015,False
Breeze,19,11,DC,7,NY,8,87,106,4,11,16,3,9,12,,,,,2015,True
Royal,32,14,TOR,24,MTL,18,205,237,13,26,37,5,20,15,,,,,2015,False
Rush,25,19,TOR,24,MTL,18,237,262,13,20,29,11,26,23,,,,,2015,True
Union,25,6,MAD,24,CHI,16,357,382,13,26,29,3,18,13,,,,,2015,False
Radicals,17,16,MAD,24,CHI,16,269,286,13,18,28,11,26,17,,,,,2015,True
Cannons,19,11,JAX,29,ATL,27,256,275,21,29,34,8,31,16,,,,,2015,True
Hustle,21,12,JAX,29,ATL,27,240,261,21,31,38,6,29,13,,,,,2015,False
Union,15,7,CHI,22,MAD,23,316,331,16,25,28,6,24,12,,,,,2015,True
Radicals,16,9,CHI,22,MAD,23,248,264,16,24,28,7,25,13,,,,,2015,False
Spiders,32,6,SEA,25,SJ,23,263,295,13,28,34,10,25,27,,,,,2015,False
Cascades,33,20,SEA,25,SJ,23,25,58,14,25,41,11,27,19,,,,,2015,True
Dragons,25,11,ROC,19,PHI,18,329,354,11,20,28,8,21,19,,,,,2015,True
Phoenix,28,11,ROC,19,PHI,18,144,172,13,21,34,5,20,13,,,,,2015,False
Flyers,27,17,RAL,26,JAX,28,265,292,22,30,42,4,29,15,,,,,2015,True
Cannons,28,19,RAL,26,JAX,28,253,281,21,29,38,7,30,20,,,,,2015,False
Hustle,19,10,NSH,21,ATL,25,248,267,15,23,31,10,27,17,,,,,2015,False
Nightwatch,25,9,NSH,21,ATL,25,276,301,16,27,34,5,23,15,,,,,2015,True
Spiders,21,13,VAN,23,SJ,26,234,255,18,25,29,8,28,22,,,,,2015,False
Riptide,25,16,VAN,23,SJ,26,294,319,17,28,38,6,25,10,,,,,2015,True
Mechanix,33,8,DET,21,PIT,34,295,328,20,37,48,1,24,9,,,,,2015,True
Thunderbirds,21,20,DET,21,PIT,34,273,294,21,23,30,13,36,28,,,,,2015,False
Phoenix,36,6,TOR,37,PHI,17,171,207,16,39,49,1,19,8,,,,,2015,False
Rush,15,25,TOR,37,PHI,17,327,342,18,19,23,19,39,32,,,,,2015,True
Outlaws,21,17,MTL,22,OTT,33,223,244,19,25,32,14,35,25,,,,,2015,False
Royal,32,14,MTL,22,OTT,33,240,272,19,35,46,3,24,10,,,,,2015,True
Express,14,6,CHA,17,JAX,18,335,349,11,20,23,6,19,9,,,,,2015,True
Cannons,12,7,CHA,17,JAX,18,237,249,11,20,23,7,20,12,,,,,2015,False
Thunderbirds,26,13,CHI,19,PIT,16,173,199,12,21,30,4,18,15,,,,,2015,False
Union,27,14,CHI,19,PIT,16,349,376,10,18,29,9,21,18,,,,,2015,True
Radicals,20,19,MIN,19,MAD,31,263,283,13,21,24,18,33,31,,,,,2015,False
Wind Chill,29,12,MIN,19,MAD,31,396,425,13,33,42,6,21,9,,,,,2015,True
Dragons,31,7,OTT,27,ROC,18,220,251,14,29,38,4,20,14,,,,,2015,False
Outlaws,21,13,OTT,27,ROC,18,279,300,14,20,29,13,29,22,,,,,2015,True
Mechanix,40,11,DET,13,MAD,27,193,233,12,29,40,1,15,14,,,,,2015,True
Radicals,24,16,DET,13,MAD,27,240,264,13,15,28,14,29,26,,,,,2015,False
Rush,23,18,NY,16,TOR,18,264,287,13,18,30,5,20,12,,,,,2015,False
Empire,24,9,NY,16,TOR,18,183,207,12,20,26,4,18,17,,,,,2015,True
Spiders,26,11,SJ,17,SF,18,210,236,13,20,32,4,19,14,,,,,2015,True
FlameThrowers,23,12,SJ,17,SF,18,259,282,14,20,29,4,21,14,,,,,2015,False
Growlers,20,14,LA,19,SD,20,247,267,14,21,25,6,22,19,,,,,2015,False
Aviators,24,7,LA,19,SD,20,273,297,13,22,33,6,21,10,,,,,2015,True
Dragons,31,17,MTL,21,ROC,19,262,293,11,23,32,8,21,20,,,,,2015,False
Royal,29,12,MTL,21,ROC,19,261,290,11,21,32,10,23,20,,,,,2015,True
Nightwatch,26,5,NSH,21,RAL,27,319,345,18,29,40,3,23,10,,,,,2015,True
Flyers,20,15,NSH,21,RAL,27,215,235,18,23,28,9,29,21,,,,,2015,False
Radicals,19,7,PIT,26,MAD,22,253,272,20,28,32,2,24,12,,,,,2015,False
Thunderbirds,15,8,PIT,26,MAD,22,364,379,19,24,31,7,28,12,,,,,2015,True
AlleyCats,19,16,IND,29,DET,21,245,264,17,23,28,12,31,23,,,,,2015,True
Mechanix,28,10,IND,29,DET,21,304,332,15,32,40,6,23,11,,,,,2015,False
Phoenix,31,12,PHI,20,DC,26,306,337,14,28,36,6,22,17,,,,,2015,True
Breeze,24,17,PHI,20,DC,26,218,242,14,22,33,12,28,20,,,,,2015,False
Revolution,47,14,MIN,25,CIN,17,217,264,12,27,46,5,19,20,,,,,2015,False
Wind Chill,36,25,MIN,25,CIN,17,256,292,12,19,32,13,27,32,,,,,2015,True
Cannons,20,14,JAX,26,CHA,12,164,184,9,14,16,17,28,32,,,,,2015,True
Express,34,13,JAX,26,CHA,12,232,266,9,28,42,3,14,6,,,,,2015,False
Hustle,24,14,ATL,24,RAL,20,285,309,16,22,27,8,26,23,,,,,2015,True
Flyers,27,14,ATL,24,RAL,20,181,208,16,26,40,4,22,10,,,,,2015,False
Revolution,44,16,CHI,28,CIN,10,154,198,10,30,49,0,12,9,,,,,2015,False
Union,28,19,CHI,28,CIN,10,305,333,10,10,17,18,29,38,,,,,2015,True
Phoenix,39,15,MTL,25,PHI,16,256,295,9,27,42,7,18,15,,,,,2015,False
Royal,31,19,MTL,25,PHI,16,212,243,11,18,26,14,27,31,,,,,2015,True
Aviators,30,11,SF,24,LA,17,247,277,11,26,32,6,19,16,,,,,2015,False
FlameThrowers,22,10,SF,24,LA,17,26,48,12,19,29,12,26,19,,,,,2015,True
Empire,22,14,NY,27,ROC,16,294,316,15,18,27,12,29,24,,,,,2015,True
Dragons,33,14,NY,27,ROC,16,283,316,13,29,39,3,18,12,,,,,2015,False
Cannons,25,6,JAX,27,RAL,29,236,261,18,31,36,9,29,18,,,,,2015,True
Flyers,22,13,JAX,27,RAL,29,210,232,18,29,37,11,31,17,,,,,2015,False
Phoenix,36,14,OTT,28,PHI,18,232,268,14,30,45,4,20,12,,,,,2015,False
Outlaws,25,15,OTT,28,PHI,18,229,254,15,20,26,13,30,28,,,,,2015,True
Wind Chill,29,15,MIN,18,MAD,23,328,357,14,25,34,4,20,17,,,,,2015,True
Radicals,26,13,MIN,18,MAD,23,244,270,13,20,31,10,25,20,,,,,2015,False
Aviators,26,11,SJ,27,LA,19,277,303,17,29,40,2,21,7,,,,,2015,False
Spiders,17,12,SJ,27,LA,19,245,262,16,21,25,11,29,22,,,,,2015,True
Mechanix,32,4,PIT,44,DET,20,318,350,18,46,50,2,22,6,,,,,2015,False
Thunderbirds,10,19,PIT,44,DET,20,252,262,19,22,26,25,46,30,,,,,2015,True
Hustle,22,17,ATL,26,CHA,18,260,282,17,20,28,9,28,21,,,,,2015,True
Express,28,10,ATL,26,CHA,18,222,250,15,28,39,3,20,11,,,,,2015,False
Spiders,25,8,VAN,31,SJ,24,263,288,18,33,42,6,26,11,,,,,2015,False
Riptide,19,13,VAN,31,SJ,24,279,298,18,26,30,13,33,21,,,,,2015,True
FlameThrowers,27,10,LA,23,SF,22,313,340,17,25,38,5,24,13,,,,,2015,False
Aviators,25,14,LA,23,SF,22,235,260,16,24,30,7,25,20,,,,,2015,True
Outlaws,32,15,OTT,17,NY,22,238,270,12,24,38,5,19,13,,,,,2015,True
Empire,28,19,OTT,17,NY,22,214,242,11,19,27,11,24,25,,,,,2015,False
Dragons,24,11,ROC,25,DC,26,306,330,18,28,34,7,27,18,,,,,2015,True
Breeze,24,17,ROC,25,DC,26,295,319,18,27,36,8,28,15,,,,,2015,False
Riptide,26,6,SEA,34,VAN,27,241,267,24,36,42,3,29,11,,,,,2015,False
